class,name,count,unit,concrete_m3,grade,rebar_t
girder,预制 T 梁,120,件,2943.55,C50,559.27
diaphragm,横隔板,480,件,303.21,C50,45.48
wet_joint,湿接缝,96,件,270.56,C50,48.70
cantilever,翼缘现浇段,48,件,124.22,C50,22.36
continuity,墩顶现浇连续段,18,件,353.65,C50,77.80
pavement,桥面铺装,24,件,1690.58,C40+沥青,0.00
barrier,混凝土护栏,48,件,935.37,C30,102.89
seat,支座垫石,150,件,13.11,C50,1.31
cap,盖梁,22,件,1030.66,C40,164.90
abut_cap,桥台台帽,4,件,111.26,C40,16.69
backwall,桥台背墙,4,件,59.10,C30,7.09
column,墩柱,44,件,637.89,C40,89.31
tie,系梁,22,件,113.52,C30,13.62
pile,钻孔灌注桩,52,件,3079.14,C30,292.52
total,结构混凝土合计（不含铺装）,1108,件,9975.24,,1441.95
bearing,板式橡胶支座,150,个,,500×600×99 ×90、φ450×77 ×60,
temp_support,临时支座（体系转换后拆除）,180,个,,400×400 mm 砂筒,
expansion_joint,伸缩装置,8,道,,每道 12.75 m,
