bearing,kind,size,support,deck,line,girders,x,y,bearing_top,seat_top,cap_top,seat_height
B-L01-1a,伸缩端,φ450×77,A00,L,1,G-L01-1,302.3540,177.0626,131.5313,131.4543,131.3037,0.1507
B-L01-2a,伸缩端,φ450×77,A00,L,2,G-L01-2,301.1167,179.1772,131.4688,131.3918,131.2413,0.1505
B-L01-3a,伸缩端,φ450×77,A00,L,3,G-L01-3,299.8793,181.2918,131.4063,131.3293,131.1789,0.1503
B-L01-4a,伸缩端,φ450×77,A00,L,4,G-L01-4,298.6419,183.4063,131.3437,131.2667,131.1166,0.1502
B-L01-5a,伸缩端,φ450×77,A00,L,5,G-L01-5,297.4045,185.5209,131.2812,131.2042,131.0542,0.1500
B-R01-1a,伸缩端,φ450×77,A00,R,1,G-R01-1,309.4248,164.9794,131.3894,131.3124,131.1604,0.1520
B-R01-2a,伸缩端,φ450×77,A00,R,2,G-R01-2,308.1874,167.0940,131.3978,131.3208,131.1693,0.1515
B-R01-3a,伸缩端,φ450×77,A00,R,3,G-R01-3,306.9500,169.2085,131.4062,131.3292,131.1782,0.1510
B-R01-4a,伸缩端,φ450×77,A00,R,4,G-R01-4,305.7126,171.3231,131.4146,131.3376,131.1871,0.1505
B-R01-5a,伸缩端,φ450×77,A00,R,5,G-R01-5,304.4753,173.4377,131.4230,131.3460,131.1960,0.1500
B-P01-L1,连续墩,500×600×99,P01,L,1,G-L01-1/G-L02-1,327.7582,192.2012,132.0311,131.9321,131.7821,0.1500
B-P01-L2,连续墩,500×600×99,P01,L,2,G-L01-2/G-L02-2,326.4842,194.2934,131.9554,131.8564,131.7064,0.1500
B-P01-L3,连续墩,500×600×99,P01,L,3,G-L01-3/G-L02-3,325.2101,196.3855,131.8797,131.7807,131.6307,0.1500
B-P01-L4,连续墩,500×600×99,P01,L,4,G-L01-4/G-L02-4,323.9351,198.4793,131.8039,131.7049,131.5549,0.1500
B-P01-L5,连续墩,500×600×99,P01,L,5,G-L01-5/G-L02-5,322.6611,200.5715,131.7282,131.6292,131.4792,0.1500
B-P01-R1,连续墩,500×600×99,P01,R,1,G-R01-1/G-R02-1,335.0398,180.2436,131.9420,131.8430,131.6930,0.1500
B-P01-R2,连续墩,500×600×99,P01,R,2,G-R01-2/G-R02-2,333.7652,182.3366,131.9108,131.8118,131.6618,0.1500
B-P01-R3,连续墩,500×600×99,P01,R,3,G-R01-3/G-R02-3,332.4912,184.4288,131.8797,131.7807,131.6306,0.1500
